/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.945000, laser=(1.7625, 1.0300) to VTK/fields_001890.vtk
Saved VTK at t = 0.950000, laser=(1.7625, 1.0050) to VTK/fields_001900.vtk
Saved VTK at t = 0.955000, laser=(1.7625, 0.9800) to VTK/fields_001910.vtk
Saved VTK at t = 0.960000, laser=(1.7625, 0.9550) to VTK/fields_001920.vtk
Saved VTK at t = 0.965000, laser=(1.7625, 0.9300) to VTK/fields_001930.vtk
Saved VTK at t = 0.970000, laser=(1.7625, 0.9050) to VTK/fields_001940.vtk
Saved VTK at t = 0.975000, laser=(1.7625, 0.8800) to VTK/fields_001950.vtk
Saved VTK at t = 0.980000, laser=(1.7625, 0.8550) to VTK/fields_001960.vtk
Saved VTK at t = 0.985000, laser=(1.7625, 0.8300) to VTK/fields_001970.vtk
Saved VTK at t = 0.990000, laser=(1.7625, 0.8050) to VTK/fields_001980.vtk
Saved VTK at t = 0.995000, laser=(1.7625, 0.7800) to VTK/fields_001990.vtk
Saved VTK at t = 1.000000, laser=(1.7625, 0.7550) to VTK/fields_002000.vtk
Saved VTK at t = 1.005000, laser=(1.7625, 0.7300) to VTK/fields_002010.vtk
Saved VTK at t = 1.010000, laser=(1.7625, 0.7050) to VTK/fields_002020.vtk
Saved VTK at t = 1.015000, laser=(1.7625, 0.6800) to VTK/fields_002030.vtk
Saved VTK at t = 1.020000, laser=(1.7625, 0.6550) to VTK/fields_002040.vtk
Saved VTK at t = 1.025000, laser=(1.7625, 0.6300) to VTK/fields_002050.vtk
Saved VTK at t = 1.030000, laser=(1.7975, 0.6250) to VTK/fields_002060.vtk
Saved VTK at t = 1.035000, laser=(1.8475, 0.6250) to VTK/fields_002070.vtk
Saved VTK at t = 1.040000, laser=(1.8625, 0.6425) to VTK/fields_002080.vtk
Saved VTK at t = 1.045000, laser=(1.8625, 0.6675) to VTK/fields_002090.vtk
Saved VTK at t = 1.050000, laser=(1.8625, 0.6925) to VTK/fields_002100.vtk
Saved VTK at t = 1.055000, laser=(1.8625, 0.7175) to VTK/fields_002110.vtk
Saved VTK at t = 1.060000, laser=(1.8625, 0.7425) to VTK/fields_002120.vtk
Saved VTK at t = 1.065000, laser=(1.8625, 0.7675) to VTK/fields_002130.vtk
